zip_code,msa_name,per_low_income,at_risk
50026,"Des Moines-West Des Moines, IA MSA",43.3,True
50029,"Des Moines-West Des Moines, IA MSA",27.0,True
50032,"Des Moines-West Des Moines, IA MSA",34.5,True
50033,"Des Moines-West Des Moines, IA MSA",25.0,True
50035,"Des Moines-West Des Moines, IA MSA",10.600000000000001,False
50038,"Des Moines-West Des Moines, IA MSA",29.400000000000002,True
50039,"Des Moines-West Des Moines, IA MSA",8.4,False
50047,"Des Moines-West Des Moines, IA MSA",13.399999999999999,False
50048,"Des Moines-West Des Moines, IA MSA",18.1,True
50061,"Des Moines-West Des Moines, IA MSA",10.7,False
50063,"Des Moines-West Des Moines, IA MSA",14.7,False
50066,"Des Moines-West Des Moines, IA MSA",25.0,True
50069,"Des Moines-West Des Moines, IA MSA",9.8,False
50070,"Des Moines-West Des Moines, IA MSA",18.9,True
50072,"Des Moines-West Des Moines, IA MSA",15.600000000000001,False
50073,"Des Moines-West Des Moines, IA MSA",19.4,True
50109,"Des Moines-West Des Moines, IA MSA",18.5,True
50111,"Des Moines-West Des Moines, IA MSA",10.7,False
50115,"Des Moines-West Des Moines, IA MSA",27.6,True
50118,"Des Moines-West Des Moines, IA MSA",19.4,True
50125,"Des Moines-West Des Moines, IA MSA",17.9,True
50128,"Des Moines-West Des Moines, IA MSA",8.6,False
50131,"Des Moines-West Des Moines, IA MSA",10.0,False
50139,"Des Moines-West Des Moines, IA MSA",21.0,True
50146,"Des Moines-West Des Moines, IA MSA",15.3,False
50155,"Des Moines-West Des Moines, IA MSA",15.5,False
50160,"Des Moines-West Des Moines, IA MSA",18.5,True
50164,"Des Moines-West Des Moines, IA MSA",21.0,True
50166,"Des Moines-West Des Moines, IA MSA",15.9,True
50167,"Des Moines-West Des Moines, IA MSA",13.3,False
50169,"Des Moines-West Des Moines, IA MSA",18.5,True
50210,"Des Moines-West Des Moines, IA MSA",10.399999999999999,False
50211,"Des Moines-West Des Moines, IA MSA",10.8,False
50216,"Des Moines-West Des Moines, IA MSA",15.299999999999999,False
50218,"Des Moines-West Des Moines, IA MSA",34.699999999999996,True
50220,"Des Moines-West Des Moines, IA MSA",29.2,True
50222,"Des Moines-West Des Moines, IA MSA",14.6,False
50226,"Des Moines-West Des Moines, IA MSA",5.6000000000000005,False
50229,"Des Moines-West Des Moines, IA MSA",5.6,False
50233,"Des Moines-West Des Moines, IA MSA",30.4,True
50237,"Des Moines-West Des Moines, IA MSA",11.2,False
50240,"Des Moines-West Des Moines, IA MSA",13.4,False
50243,"Des Moines-West Des Moines, IA MSA",10.3,False
50250,"Des Moines-West Des Moines, IA MSA",26.199999999999996,True
50257,"Des Moines-West Des Moines, IA MSA",19.4,True
50261,"Des Moines-West Des Moines, IA MSA",12.0,False
50263,"Des Moines-West Des Moines, IA MSA",8.0,False
50265,"Des Moines-West Des Moines, IA MSA",12.3,False
50266,"Des Moines-West Des Moines, IA MSA",13.400000000000002,False
50273,"Des Moines-West Des Moines, IA MSA",24.2,True
50276,"Des Moines-West Des Moines, IA MSA",11.2,False
50277,"Des Moines-West Des Moines, IA MSA",22.200000000000003,True
50309,"Des Moines-West Des Moines, IA MSA",43.6,True
50310,"Des Moines-West Des Moines, IA MSA",19.1,True
50311,"Des Moines-West Des Moines, IA MSA",29.1,True
50312,"Des Moines-West Des Moines, IA MSA",28.0,True
50313,"Des Moines-West Des Moines, IA MSA",21.9,True
50314,"Des Moines-West Des Moines, IA MSA",42.3,True
